,Institución,Código Único,Nombre del establecimiento,Clasificación,Tipo,Departamento,Provincia,Distrito,UBIGEO,Dirección,Código DISA,Código Red,Código Microrred,DISA,Red,Microrred,Código UE,Unidad Ejecutora,Categoria,Teléfono,Tipo Doc.Categorización,Nro.Doc.Categorización,Horario,Inicio de Actividad,Director Médico y/o Responsable de la Atención de Salud,Estado,Situación,Condición,Inspección,NORTE,ESTE,COTA,CAMAS,lon,lat
19730,GOBIERNO REGIONAL,979,DR.DANIEL ALCIDES CARRION GARCIA.,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PASCO,PASCO,YANACANCHA,190113,ACTUALIZAR,27,1,1,PASCO,PASCO,CENTRO,890,SALUD HOSPITAL DANIEL A. CARRION,II-1,722272,RESOLUCIÓN,390-2010-DG-DIRESA/GR.PASCO,24 HORAS,27/09/1979,CRISTHIAN PAUL CARDOSO RODRIGUEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.26187809,-10.68776302,4346.0,,-76.26187809,-10.68776302
19765,GOBIERNO REGIONAL,2793,SAN MARTIN DE PORRES DE IBERIA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,MADRE DE DIOS,TAHUAMANU,IBERIA,170302,CALLE CALLE MOCOPATA S/N NÚMERO S/N DISTRITO IBERIA PROVINCIA TAHUAMANU DEPARTAMENTO MADRE DE DIOS ,25,1,0,MADRE DE DIOS,MADRE DE DIOS,NO PERTENECE A NINGUNA MICRORED,879,SALUD MADRE DE DIOS,II-1,949809297,RESOLUCIÓN,209-2005-DRS-GR-MDD/DG,24 HORAS,03/11/1961,CARLOS JUNEOR FLORES AEDO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-69.48750262,-11.41230106,305.0,25.0,-69.48750262,-11.41230106
19810,GOBIERNO REGIONAL,3472,HOSPITAL SAN JUAN DE DIOS DE PISCO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,ICA,PISCO,PISCO,110501,"OTROS ALTO LA LUNA S/N, COSTADO DEL MINISTERIO DE AGRICULTURA NÚMERO S/N DISTRITO PISCO PROVINCIA PISCO DEPARTAMENTO ICA ",15,2,6,ICA,CHINCHA - PISCO,PISCO,1195,HOSPITAL SAN JUAN DE DIOS - PISCO,II-1,056-535716,RESOLUCIÓN,RD 734-2009-GORE-ICA-DRSA-DG,24 HORAS,23/02/1930,ROBERTO ALEJANDRO ESTRADA RODRIGUEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.18514,-13.71460667,81.3,88.0,-76.18514,-13.71460667
19841,GOBIERNO REGIONAL,5277,HOSPITAL PROVINICIAL DE CASCAS,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,GRAN CHIMU,CASCAS,131101,AVENIDA AV. LIBERTAD Nº 249 DISTRITO CASCAS PROVINCIA GRAN CHIMU DEPARTAMENTO LA LIBERTAD ,18,7,1,LA LIBERTAD,RED GRAN CHIMU,CASCAS,1619,SALUD GRAN CHIMU,II-1,(51) 947948182,RESOLUCIÓN,1700,24 HORAS,27/10/1978,YASMIN GRACIELA SANCHEZ HIDALGO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.81739121,-7.48168056,1279.39,12.0,-78.81739121,-7.48168056
19842,GOBIERNO REGIONAL,5332,HOSPITAL DE APOYO CESAR VALLEJO MENDOZA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,131001,JIRÓN JR. MARISCAL CACERES 1145 DISTRITO SANTIAGO DE CHUCO PROVINCIA SANTIAGO DE CHUCO DEPARTAMENTO LA LIBERTAD ,18,11,0,LA LIBERTAD,RED SANTIAGO DE CHUCO,NO PERTENECE A NINGUNA MICRORED,852,SALUD SANTIAGO DE CHUCO,II-1,TEL: 044-340230,RESOLUCIÓN,554,24 HORAS,10/06/1972,MANUEL ORLANDO CASTILLO STOLL ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.172465,-8.142575,3119.7,12.0,-78.172465,-8.142575
19870,MINSA,23159,HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,VILLA EL SALVADOR,150142,AVENIDA PASTOR SEVILLA NÚMERO 000 DISTRITO VILLA EL SALVADOR PROVINCIA LIMA DEPARTAMENTO LIMA ,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,1670,HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR,II-E,5007800,RESOLUCIÓN,1208-2016-USES-DSS-DISA-II-LS/DG,8:00 - 8:00,07/04/2016,AUGUSTO MAGNO TARAZONA FERNANDEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.9336669,-12.2326004,,194.0,-76.9336669,-12.2326004
19891,MINSA,6215,HOSPITAL NACIONAL DOCENTE MADRE NIÑO SAN BARTOLOME,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,LIMA,150101,AVENIDA AV ALFONSO UGARTE Nº 825 LIMA CERCADO AV ALFONSO UGARTE Nº 825 LIMA CERCADO LIMA LIMA LIMA ,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,149,HOSPITAL NACIONAL DOCENTE MADRE NIÑO - SAN BARTOLOME,III-1,2010400,RESOLUCIÓN,RD 463 DG -DESI -DSS-DIRESA -L -2010,24 HORAS,01/01/1988,DAVID HOMERO CORNEJO FALCON ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.0423608,-12.0499179,,221.0,-77.0423608,-12.0499179
19935,SANIDAD DE LA POLICIA NACIONAL DEL PERU,11833,HOSPITAL REGIONAL PNP CHICLAYO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,FEDERICO VILLARREAL Nº245 URB LOS PARQUES-CHICLAYO,19,0,0,LAMBAYEQUE,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,Sin Categoría,074-229683,RESOLUCIÓN,,07:30 - 13:30       ,11/08/1978,TOMAS NAPOLEON CASTAÑEDA ALARCON ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.84668833,-6.772645,100.8,47.0,-79.84668833,-6.772645
20000,GOBIERNO REGIONAL,5195,HOSPITAL BELEN DE TRUJILLO,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,TRUJILLO,TRUJILLO,130101,JIRÓN JIRON BOLIVAR 350 DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ,18,0,0,LA LIBERTAD,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,848,SALUD TRUJILLO SUR OESTE,III-1,TEL: 044-480200,RESOLUCIÓN,0334,24 HORAS,24/05/1977,JUAN MANUEL VALLADOLID ALZAMORA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.02843802,-8.11466301,52.0,276.0,-79.02843802,-8.11466301
20233,GOBIERNO REGIONAL,308,HOSPITAL REGIONAL DOCENTE DE MEDICINA TROPICAL DR. JULIO DEMARINI CARO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,JUNIN,CHANCHAMAYO,CHANCHAMAYO,120301,AV. DANIEL A. CARRION S/N AAVV PAMPA DEL CARMEN,17,4,0,JUNIN,CHANCHAMAYO,NO PERTENECE A NINGUNA MICRORED,828,SALUD CHANCHAMAYO,II-1,064-532373,RESOLUCIÓN,157-2011-DRSJ/OEGDRH,24 HORAS,14/07/1904,FREDY ICHPAS QUISPE ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-75.33759,-11.07388333,775.0,95.0,-75.33759,-11.07388333
20442,GOBIERNO REGIONAL,2398,SANTO TOMAS,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CUSCO,CHUMBIVILCAS,SANTO TOMAS,80701,AVENIDA AVENIDA PERU S/N SANTO TOMAS / CHUMBIVILCAS / CUSCO S/N AVENIDA PERU S/N SANTO TOMAS / CHUMBIVILCAS / CUSCO SANTO TOMAS CHUMBIVILCAS CUSCO ,11,1,9,CUSCO,CUSCO SUR,SANTO TOMAS,1322,RED DE SERVICIOS DE SALUD CUSCO SUR,II-1,084-278119,RESOLUCIÓN,,CONSULTA EXTERNA 08:,24/01/1968,FERNANDO MARTIN FERNANDEZ QUISPE ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-72.08461227,-14.44840483,3724.0,35.0,-72.08461227,-14.44840483
20518,GOBIERNO REGIONAL,4210,GRAL. JAEN,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CAJAMARCA,JAEN,JAEN,60801,AVENIDA AV. PAKAMAUROS S/N S/N AV. PAKAMAUROS S/N JAEN JAEN CAJAMARCA ,7,0,0,CAJAMARCA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,1047,REGION CAJAMARCA-HOSPITAL GENERAL DE JAEN,II-1,076-431268,RESOLUCIÓN,,24 HORAS,01/04/1991,NANCY AURORA GUERRERO VELASCO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.80471119,-5.70621441,729.0,72.0,-78.80471119,-5.70621441
20633,SANIDAD DEL EJERCITO DEL PERU,10098,EJERCITO PERUANO,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,CHORRILLOS,150108,AVENIDA AV. ESCUELA MILITAR S/N S/N AV. ESCUELA MILITAR S/N CHORRILLOS LIMA LIMA ,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,2523218,RESOLUCIÓN,,24 HORAS,01/01/2000,ENRICO GUSTAVO SANGIACOMO MARTINEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.0189409,-12.1601295,,20.0,-77.0189409,-12.1601295
20659,GOBIERNO REGIONAL,3358,REGIONAL DE ICA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,ICA,ICA,ICA,110101,PROLONGACIÓN PROLONG. AYABACA S/N NÚMERO S/N DISTRITO ICA PROVINCIA ICA DEPARTAMENTO ICA ,15,0,0,ICA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,1052,HOSPITAL REGIONAL DE ICA,II-2,056-232793,RESOLUCIÓN,RD 360-2010-GORE-ICA-DRSA-DESP-DSS,24 HORAS,01/01/1900,DIANA MERCEDES BOLIVAR JOO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-75.74336667,-14.073575,,40.0,-75.74336667,-14.073575
20738,ESSALUD,18319,ALBERTO LEOPOLDO BARTON THOMPSON,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CALLAO,CALLAO,CALLAO,70101,AVENIDA ARGENTINA  3525 CALLAO CALLAO CALLAO ,8,0,0,CALLAO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-2,2074700,RESOLUCIÓN,Nº 698-2014-GRC/DIRESA/DG,24 HORAS,23/04/2014,DANTE LUIS ARCE CHIRINOS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.1076748,-12.0491962,,201.0,-77.1076748,-12.0491962
20787,ESSALUD,15230,HOSPITAL III JOSE CAYETANO HEREDIA,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PIURA,PIURA,CASTILLA,200104,AV. INDEPENDENCIA S/N,28,0,0,PIURA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,III-1,073-342327,RESOLUCIÓN,0,24 HORAS,01/07/1987,,ACTIVADO, ,EN FUNCIONAMIENTO, ,-80.62249257,-5.18744257,55.468,189.0,-80.62249257,-5.18744257
20818,GOBIERNO REGIONAL,704,HOSPITAL REGIONAL DOCENTE DE ENFERMEDADES NEOPLASICAS,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,JUNIN,HUANCAYO,EL TAMBO,120114,JIRÓN JIRON AREQUIPA Nº 1030 JIRON AREQUIPA Nº 1030 EL TAMBO HUANCAYO JUNIN ,17,0,0,JUNIN,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,823,DIRECCION REGIONAL DE SALUD JUNIN,II-E,064-240497,RESOLUCIÓN,924-2012-DRSJ/OEGDRH,24 HORAS,29/08/2012,,ACTIVADO, ,EN FUNCIONAMIENTO, ,-75.217933,-12.057533,3260.0,,-75.217933,-12.057533
